Name,Line 1,Line 2,Town,County,Postcode,lat,lng
Pret A Manger,27-28,Great Marlborough Street,London,Greater London,W1F 7HY,51.51374149999999,-0.1396517
Pret A Manger,9 Argyll Street,,London,Greater London,W1F 7TG,51.5147403,-0.140615
Pret A Manger,182 Wardour Street,,London,Greater London,W1F 8FZ,51.515666,-0.1356242
Pret A Manger,8 Broadwick Street,,London,Greater London,W1F 8HN,51.51406799999999,-0.1348507
Pret A Manger,5 Vere Street,,London,Greater London,W1G 0DJ,51.515149,-0.1471691
Pret A Manger,31 Cavendish Square,,London,Greater London,W1G 0PW,51.5160256,-0.1443059
Pret A Manger,Unit 3 Portman Square,Orchard Street,London,Greater London,W1H 6HJ,51.5150186,-0.1544271
Pret A Manger,7 Berkeley Square,,London,Greater London,W1J 6ES,51.5094316,-0.1445957
Pret A Manger,81 Piccadilly,,London,Greater London,W1J 8HY,51.5065904,-0.1435337
Pret A Manger,163 Piccadilly,,London,Greater London,W1J 9ED,51.5077778,-0.14
Pret A Manger,32 Avery Row,,London,Greater London,W1K 4BE,51.5122873,-0.1453705
Pret A Manger,Hanover Square,,London,Greater London,W1S 1HN,51.5139303,-0.1433002
Pret A Manger,18 Hanover Street,,London,Greater London,W1S 1YN,51.5137943,-0.141932
